Quarter,Revenue,NetProfit,EPS
Sep-22,261,52,6.19
Dec-22,292,87,8.93
Mar-23,306,83,9.94
Jun-23,328,83,9.84
Sep-23,318,71,8.44
Dec-23,339,92,10.82
Mar-24,361,115,13.60
Jun-24,367,141,16.60
Sep-24,398,154,18.12
Dec-24,364,131,15.44
